record_id,date,time,station_id,entry_count,exit_count,total_passengers,peak_hour_flag,weekday,holiday_flag,weather_condition,event_near_station,crowd_density_level
PF0000031,2024-10-02,16:00,DEL018,6361,6361,12722,0,Wednesday,1,Clear,None,Low
PF0000032,2024-10-02,17:00,DEL018,8666,8666,17332,0,Wednesday,1,Clear,None,Medium
PF0000033,2024-10-02,18:00,DEL018,7702,7701,15403,1,Wednesday,1,Clear,None,Medium
PF0000034,2024-10-02,19:00,DEL018,9076,9076,18152,1,Wednesday,1,Clear,None,Medium
PF0000035,2024-10-02,20:00,DEL018,8147,8147,16294,1,Wednesday,1,Clear,None,Medium
PF0000036,2024-10-02,21:00,DEL018,7314,7313,14627,0,Wednesday,1,Clear,None,Medium
PF0000037,2024-10-02,22:00,DEL018,5110,5111,10221,0,Wednesday,1,Clear,None,Low
PF0000038,2024-10-02,23:00,DEL018,4720,4720,9440,0,Wednesday,1,Clear,None,Low
PF0000039,2024-10-03,05:00,DEL018,5271,5271,10542,0,Thursday,0,Clear,None,Low
PF0000040,2024-10-03,06:00,DEL018,6462,6462,12924,0,Thursday,0,Clear,None,Low
PF0000041,2024-10-03,07:00,DEL018,11489,11489,22978,0,Thursday,0,Clear,None,Medium
PF0000042,2024-10-03,08:00,DEL018,13558,13559,27117,1,Thursday,0,Clear,None,High
PF0000043,2024-10-03,09:00,DEL018,12052,12053,24105,1,Thursday,0,Clear,None,Medium
PF0000044,2024-10-03,10:00,DEL018,9515,9515,19030,1,Thursday,0,Clear,None,Medium
PF0000045,2024-10-03,11:00,DEL018,10154,10155,20309,0,Thursday,0,Clear,None,Medium
PF0000046,2024-10-03,12:00,DEL018,8166,8167,16333,0,Thursday,0,Clear,None,Medium
PF0000047,2024-10-03,13:00,DEL018,9114,9114,18228,0,Thursday,0,Clear,None,Medium
PF0000048,2024-10-03,14:00,DEL018,9242,9242,18484,0,Thursday,0,Clear,None,Medium
PF0000049,2024-10-03,15:00,DEL018,9944,9943,19887,0,Thursday,0,Clear,None,Medium
PF0000050,2024-10-03,16:00,DEL018,10148,10147,20295,0,Thursday,0,Clear,None,Medium
PF0000051,2024-10-03,17:00,DEL018,11526,11525,23051,0,Thursday,0,Clear,None,Medium
PF0000052,2024-10-03,18:00,DEL018,12495,12495,24990,1,Thursday,0,Clear,None,High
PF0000053,2024-10-03,19:00,DEL018,13618,13618,27236,1,Thursday,0,Clear,None,High
PF0000054,2024-10-03,20:00,DEL018,13302,13303,26605,1,Thursday,0,Clear,None,High
PF0000055,2024-10-03,21:00,DEL018,7880,7881,15761,0,Thursday,0,Clear,None,Medium
PF0000056,2024-10-03,22:00,DEL018,7976,7977,15953,0,Thursday,0,Clear,None,Medium
PF0000057,2024-10-03,23:00,DEL018,5514,5514,11028,0,Thursday,0,Clear,None,Low
PF0000058,2024-10-04,05:00,DEL018,4180,4180,8360,0,Friday,0,Haze,None,Low
PF0000059,2024-10-04,06:00,DEL018,5730,5729,11459,0,Friday,0,Haze,None,Low
PF0000060,2024-10-04,07:00,DEL018,8254,8255,16509,0,Friday,0,Haze,None,Medium
PF0000061,2024-10-04,08:00,DEL018,9520,9520,19040,1,Friday,0,Haze,None,Medium
PF0000062,2024-10-04,09:00,DEL018,10039,10039,20078,1,Friday,0,Haze,None,Medium
PF0000063,2024-10-04,10:00,DEL018,9138,9138,18276,1,Friday,0,Haze,None,Medium
PF0000064,2024-10-04,11:00,DEL018,7954,7954,15908,0,Friday,0,Haze,None,Medium
PF0000065,2024-10-04,12:00,DEL018,7583,7583,15166,0,Friday,0,Haze,None,Medium
PF0000066,2024-10-04,13:00,DEL018,6578,6578,13156,0,Friday,0,Haze,None,Low
PF0000067,2024-10-04,14:00,DEL018,8140,8139,16279,0,Friday,0,Haze,None,Medium
PF0000068,2024-10-04,15:00,DEL018,7547,7547,15094,0,Friday,0,Haze,None,Medium
PF0000069,2024-10-04,16:00,DEL018,9880,9880,19760,0,Friday,0,Haze,None,Medium
PF0000070,2024-10-04,17:00,DEL018,9400,9401,18801,0,Friday,0,Haze,None,Medium
PF0000071,2024-10-04,18:00,DEL018,8496,8495,16991,1,Friday,0,Haze,None,Medium
PF0000072,2024-10-04,19:00,DEL018,10082,10082,20164,1,Friday,0,Haze,None,Medium
PF0000073,2024-10-04,20:00,DEL018,9999,9999,19998,1,Friday,0,Haze,None,Medium
PF0000074,2024-10-04,21:00,DEL018,7710,7709,15419,0,Friday,0,Haze,None,Medium
PF0000075,2024-10-04,22:00,DEL018,6196,6197,12393,0,Friday,0,Haze,None,Low
PF0000076,2024-10-04,23:00,DEL018,4618,4618,9236,0,Friday,0,Haze,None,Low
PF0000077,2024-10-05,05:00,DEL018,4014,4015,8029,0,Saturday,0,Clear,None,Low
PF0000078,2024-10-05,06:00,DEL018,5104,5105,10209,0,Saturday,0,Clear,None,Low
PF0000079,2024-10-05,07:00,DEL018,7388,7389,14777,0,Saturday,0,Clear,None,Medium
PF0000080,2024-10-05,08:00,DEL018,9624,9623,19247,1,Saturday,0,Clear,None,Medium
PF0000081,2024-10-05,09:00,DEL018,7415,7415,14830,1,Saturday,0,Clear,None,Medium
PF0000082,2024-10-05,10:00,DEL018,8982,8982,17964,1,Saturday,0,Clear,None,Medium
PF0000083,2024-10-05,11:00,DEL018,7254,7255,14509,0,Saturday,0,Clear,None,Medium
PF0000084,2024-10-05,12:00,DEL018,7442,7443,14885,0,Saturday,0,Clear,None,Medium
PF0000085,2024-10-05,13:00,DEL018,7210,7209,14419,0,Saturday,0,Clear,None,Low
PF0000086,2024-10-05,14:00,DEL018,6718,6719,13437,0,Saturday,0,Clear,None,Low
PF0000087,2024-10-05,15:00,DEL018,6102,6103,12205,0,Saturday,0,Clear,None,Low
PF0000088,2024-10-05,16:00,DEL018,7855,7855,15710,0,Saturday,0,Clear,None,Medium
PF0000089,2024-10-05,17:00,DEL018,8216,8217,16433,0,Saturday,0,Clear,None,Medium
PF0000090,2024-10-05,18:00,DEL018,9548,9547,19095,1,Saturday,0,Clear,None,Medium
PF0000091,2024-10-05,19:00,DEL018,9839,9839,19678,1,Saturday,0,Clear,None,Medium
PF0000092,2024-10-05,20:00,DEL018,9143,9143,18286,1,Saturday,0,Clear,None,Medium
PF0000093,2024-10-05,21:00,DEL018,7082,7083,14165,0,Saturday,0,Clear,None,Low
PF0000094,2024-10-05,22:00,DEL018,6216,6217,12433,0,Saturday,0,Clear,None,Low
PF0000095,2024-10-05,23:00,DEL018,4417,4417,8834,0,Saturday,0,Clear,None,Low
PF0000096,2024-10-06,05:00,DEL018,3251,3251,6502,0,Sunday,0,Clear,None,Low
PF0000097,2024-10-06,06:00,DEL018,5960,5960,11920,0,Sunday,0,Clear,None,Low
PF0000098,2024-10-06,07:00,DEL018,7658,7659,15317,0,Sunday,0,Clear,None,Medium
PF0000099,2024-10-06,08:00,DEL018,9350,9349,18699,1,Sunday,0,Clear,None,Medium
PF0000100,2024-10-06,09:00,DEL018,8138,8139,16277,1,Sunday,0,Clear,None,Medium
PF0000101,2024-10-06,10:00,DEL018,7264,7264,14528,1,Sunday,0,Clear,None,Medium
PF0000102,2024-10-06,11:00,DEL018,7262,7263,14525,0,Sunday,0,Clear,None,Medium
PF0000103,2024-10-06,12:00,DEL018,7434,7434,14868,0,Sunday,0,Clear,None,Medium
PF0000104,2024-10-06,13:00,DEL018,6156,6155,12311,0,Sunday,0,Clear,None,Low
PF0000105,2024-10-06,14:00,DEL018,7286,7287,14573,0,Sunday,0,Clear,None,Medium
PF0000106,2024-10-06,15:00,DEL018,6464,6465,12929,0,Sunday,0,Clear,None,Low
PF0000107,2024-10-06,16:00,DEL018,7980,7979,15959,0,Sunday,0,Clear,None,Medium
PF0000108,2024-10-06,17:00,DEL018,10394,10395,20789,0,Sunday,0,Clear,None,Medium
PF0000109,2024-10-06,18:00,DEL018,9840,9840,19680,1,Sunday,0,Clear,None,Medium
PF0000110,2024-10-06,19:00,DEL018,9830,9829,19659,1,Sunday,0,Clear,None,Medium
PF0000111,2024-10-06,20:00,DEL018,9487,9487,18974,1,Sunday,0,Clear,None,Medium
PF0000112,2024-10-06,21:00,DEL018,6348,6348,12696,0,Sunday,0,Clear,None,Low
PF0000113,2024-10-06,22:00,DEL018,5130,5129,10259,0,Sunday,0,Clear,None,Low
PF0000114,2024-10-06,23:00,DEL018,4224,4223,8447,0,Sunday,0,Clear,None,Low
PF0000115,2024-10-07,05:00,DEL018,3697,3697,7394,0,Monday,0,Clear,None,Low
PF0000116,2024-10-07,06:00,DEL018,4834,4834,9668,0,Monday,0,Clear,None,Low
PF0000117,2024-10-07,07:00,DEL018,8668,8668,17336,0,Monday,0,Clear,None,Medium
PF0000118,2024-10-07,08:00,DEL018,9566,9565,19131,1,Monday,0,Clear,None,Medium
PF0000119,2024-10-07,09:00,DEL018,10909,10909,21818,1,Monday,0,Clear,None,Medium
PF0000120,2024-10-07,10:00,DEL018,9164,9163,18327,1,Monday,0,Clear,None,Medium
PF0000121,2024-10-07,11:00,DEL018,7132,7131,14263,0,Monday,0,Clear,None,Low
PF0000122,2024-10-07,12:00,DEL018,8035,8035,16070,0,Monday,0,Clear,None,Medium
PF0000123,2024-10-07,13:00,DEL018,8136,8136,16272,0,Monday,0,Clear,None,Medium
PF0000124,2024-10-07,14:00,DEL018,7004,7004,14008,0,Monday,0,Clear,None,Low
PF0000125,2024-10-07,15:00,DEL018,7213,7213,14426,0,Monday,0,Clear,None,Low
PF0000126,2024-10-07,16:00,DEL018,6882,6882,13764,0,Monday,0,Clear,None,Low
PF0000127,2024-10-07,17:00,DEL018,9013,9013,18026,0,Monday,0,Clear,None,Medium
PF0000128,2024-10-07,18:00,DEL018,9365,9365,18730,1,Monday,0,Clear,None,Medium
PF0000129,2024-10-07,19:00,DEL018,10192,10191,20383,1,Monday,0,Clear,None,Medium
PF0000130,2024-10-07,20:00,DEL018,8015,8015,16030,1,Monday,0,Clear,None,Medium
PF0000131,2024-10-07,21:00,DEL018,7198,7197,14395,0,Monday,0,Clear,None,Low
PF0000132,2024-10-07,22:00,DEL018,5548,5548,11096,0,Monday,0,Clear,None,Low
PF0000133,2024-10-07,23:00,DEL018,5144,5145,10289,0,Monday,0,Clear,None,Low
PF0000134,2024-10-08,05:00,DEL018,3955,3955,7910,0,Tuesday,0,Haze,None,Low
PF0000135,2024-10-08,06:00,DEL018,6577,6577,13154,0,Tuesday,0,Haze,None,Low
PF0000136,2024-10-08,07:00,DEL018,8862,8863,17725,0,Tuesday,0,Haze,None,Medium
PF0000137,2024-10-08,08:00,DEL018,8558,8557,17115,1,Tuesday,0,Haze,None,Medium
PF0000138,2024-10-08,09:00,DEL018,9489,9489,18978,1,Tuesday,0,Haze,None,Medium
PF0000139,2024-10-08,10:00,DEL018,8491,8491,16982,1,Tuesday,0,Haze,None,Medium
PF0000140,2024-10-08,11:00,DEL018,7281,7281,14562,0,Tuesday,0,Haze,None,Medium
PF0000141,2024-10-08,12:00,DEL018,7644,7644,15288,0,Tuesday,0,Haze,None,Medium
PF0000142,2024-10-08,13:00,DEL018,8669,8669,17338,0,Tuesday,0,Haze,None,Medium
PF0000143,2024-10-08,14:00,DEL018,8204,8203,16407,0,Tuesday,0,Haze,None,Medium
PF0000144,2024-10-08,15:00,DEL018,6838,6838,13676,0,Tuesday,0,Haze,None,Low
PF0000145,2024-10-08,16:00,DEL018,9452,9452,18904,0,Tuesday,0,Haze,None,Medium
PF0000146,2024-10-08,17:00,DEL018,10764,10764,21528,0,Tuesday,0,Haze,None,Medium
PF0000147,2024-10-08,18:00,DEL018,9301,9301,18602,1,Tuesday,0,Haze,None,Medium
PF0000148,2024-10-08,19:00,DEL018,10975,10975,21950,1,Tuesday,0,Haze,None,Medium
PF0000149,2024-10-08,20:00,DEL018,8710,8710,17420,1,Tuesday,0,Haze,None,Medium
PF0000150,2024-10-08,21:00,DEL018,6518,6517,13035,0,Tuesday,0,Haze,None,Low
PF0000151,2024-10-08,22:00,DEL018,6610,6611,13221,0,Tuesday,0,Haze,None,Low
PF0000152,2024-10-08,23:00,DEL018,5168,5168,10336,0,Tuesday,0,Haze,None,Low
PF0000153,2024-10-09,05:00,DEL018,3707,3707,7414,0,Wednesday,0,Haze,None,Low
PF0000154,2024-10-09,06:00,DEL018,6299,6299,12598,0,Wednesday,0,Haze,None,Low
PF0000155,2024-10-09,07:00,DEL018,8215,8215,16430,0,Wednesday,0,Haze,None,Medium
PF0000156,2024-10-09,08:00,DEL018,10734,10733,21467,1,Wednesday,0,Haze,None,Medium
PF0000157,2024-10-09,09:00,DEL018,10072,10073,20145,1,Wednesday,0,Haze,None,Medium
PF0000158,2024-10-09,10:00,DEL018,8999,8999,17998,1,Wednesday,0,Haze,None,Medium
PF0000159,2024-10-09,11:00,DEL018,7858,7858,15716,0,Wednesday,0,Haze,None,Medium
PF0000160,2024-10-09,12:00,DEL018,6711,6711,13422,0,Wednesday,0,Haze,None,Low
PF0000161,2024-10-09,13:00,DEL018,6908,6909,13817,0,Wednesday,0,Haze,None,Low
PF0000162,2024-10-09,14:00,DEL018,5910,5911,11821,0,Wednesday,0,Haze,None,Low
PF0000163,2024-10-09,15:00,DEL018,8016,8015,16031,0,Wednesday,0,Haze,None,Medium
PF0000164,2024-10-09,16:00,DEL018,7778,7779,15557,0,Wednesday,0,Haze,None,Medium
PF0000165,2024-10-09,17:00,DEL018,10250,10251,20501,0,Wednesday,0,Haze,None,Medium
PF0000166,2024-10-09,18:00,DEL018,10492,10491,20983,1,Wednesday,0,Haze,None,Medium
PF0000167,2024-10-09,19:00,DEL018,10726,10725,21451,1,Wednesday,0,Haze,None,Medium
PF0000168,2024-10-09,20:00,DEL018,7786,7786,15572,1,Wednesday,0,Haze,None,Medium
PF0000169,2024-10-09,21:00,DEL018,7538,7538,15076,0,Wednesday,0,Haze,None,Medium
PF0000170,2024-10-09,22:00,DEL018,7378,7379,14757,0,Wednesday,0,Haze,None,Medium
PF0000171,2024-10-09,23:00,DEL018,5926,5925,11851,0,Wednesday,0,Haze,None,Low
PF0000172,2024-10-10,05:00,DEL018,4489,4489,8978,0,Thursday,0,Cloudy,None,Low
PF0000173,2024-10-10,06:00,DEL018,7040,7039,14079,0,Thursday,0,Cloudy,None,Low
PF0000174,2024-10-10,07:00,DEL018,8575,8575,17150,0,Thursday,0,Cloudy,None,Medium
PF0000175,2024-10-10,08:00,DEL018,11678,11678,23356,1,Thursday,0,Cloudy,None,Medium
PF0000176,2024-10-10,09:00,DEL018,10723,10723,21446,1,Thursday,0,Cloudy,None,Medium
PF0000177,2024-10-10,10:00,DEL018,10068,10067,20135,1,Thursday,0,Cloudy,None,Medium
PF0000178,2024-10-10,11:00,DEL018,7654,7655,15309,0,Thursday,0,Cloudy,None,Medium
PF0000179,2024-10-10,12:00,DEL018,8030,8030,16060,0,Thursday,0,Cloudy,None,Medium
PF0000180,2024-10-10,13:00,DEL018,8306,8305,16611,0,Thursday,0,Cloudy,None,Medium
PF0000181,2024-10-10,14:00,DEL018,8372,8373,16745,0,Thursday,0,Cloudy,None,Medium
PF0000182,2024-10-10,15:00,DEL018,8575,8575,17150,0,Thursday,0,Cloudy,None,Medium
PF0000183,2024-10-10,16:00,DEL018,8981,8981,17962,0,Thursday,0,Cloudy,None,Medium
PF0000184,2024-10-10,17:00,DEL018,9432,9431,18863,0,Thursday,0,Cloudy,None,Medium
PF0000185,2024-10-10,18:00,DEL018,12666,12665,25331,1,Thursday,0,Cloudy,None,High
PF0000186,2024-10-10,19:00,DEL018,13608,13607,27215,1,Thursday,0,Cloudy,None,High
PF0000187,2024-10-10,20:00,DEL018,9960,9960,19920,1,Thursday,0,Cloudy,None,Medium
PF0000188,2024-10-10,21:00,DEL018,7090,7089,14179,0,Thursday,0,Cloudy,None,Low
PF0000189,2024-10-10,22:00,DEL018,6283,6283,12566,0,Thursday,0,Cloudy,None,Low
PF0000190,2024-10-10,23:00,DEL018,5725,5725,11450,0,Thursday,0,Cloudy,None,Low
PF0000191,2024-10-11,05:00,DEL018,5734,5733,11467,0,Friday,0,Cloudy,Trade Fair,Low
PF0000192,2024-10-11,06:00,DEL018,10740,10739,21479,0,Friday,0,Cloudy,Trade Fair,Medium
PF0000193,2024-10-11,07:00,DEL018,15523,15523,31046,0,Friday,0,Cloudy,Trade Fair,High
PF0000194,2024-10-11,08:00,DEL018,18904,18904,37808,1,Friday,0,Cloudy,Trade Fair,Critical
PF0000195,2024-10-11,09:00,DEL018,16802,16802,33604,1,Friday,0,Cloudy,Trade Fair,High
PF0000196,2024-10-11,10:00,DEL018,12844,12844,25688,1,Friday,0,Cloudy,Trade Fair,High
PF0000197,2024-10-11,11:00,DEL018,13860,13861,27721,0,Friday,0,Cloudy,Trade Fair,High
PF0000198,2024-10-11,12:00,DEL018,14518,14517,29035,0,Friday,0,Cloudy,Trade Fair,High
PF0000199,2024-10-11,13:00,DEL018,12942,12942,25884,0,Friday,0,Cloudy,Trade Fair,High
PF0000200,2024-10-11,14:00,DEL018,13578,13579,27157,0,Friday,0,Cloudy,Trade Fair,High
PF0000201,2024-10-11,15:00,DEL018,12430,12431,24861,0,Friday,0,Cloudy,Trade Fair,High
PF0000202,2024-10-11,16:00,DEL018,13937,13937,27874,0,Friday,0,Cloudy,Trade Fair,High
PF0000203,2024-10-11,17:00,DEL018,19186,19185,38371,0,Friday,0,Cloudy,Trade Fair,Critical
PF0000204,2024-10-11,18:00,DEL018,24400,24400,48800,1,Friday,0,Cloudy,Trade Fair,Critical
PF0000205,2024-10-11,19:00,DEL018,24642,24641,49283,1,Friday,0,Cloudy,Trade Fair,Critical
PF0000206,2024-10-11,20:00,DEL018,23641,23641,47282,1,Friday,0,Cloudy,Trade Fair,Critical
PF0000207,2024-10-11,21:00,DEL018,15759,15759,31518,0,Friday,0,Cloudy,Trade Fair,High
PF0000208,2024-10-11,22:00,DEL018,10274,10275,20549,0,Friday,0,Cloudy,Trade Fair,Medium
PF0000209,2024-10-11,23:00,DEL018,8838,8837,17675,0,Friday,0,Cloudy,Trade Fair,Medium
PF0000210,2024-10-12,05:00,DEL018,3489,3489,6978,0,Saturday,1,Clear,None,Low
PF0000211,2024-10-12,06:00,DEL018,6646,6645,13291,0,Saturday,1,Clear,None,Low
PF0000212,2024-10-12,07:00,DEL018,8466,8467,16933,0,Saturday,1,Clear,None,Medium
PF0000213,2024-10-12,08:00,DEL018,8882,8882,17764,1,Saturday,1,Clear,None,Medium
PF0000214,2024-10-12,09:00,DEL018,9926,9925,19851,1,Saturday,1,Clear,None,Medium
PF0000215,2024-10-12,10:00,DEL018,8775,8775,17550,1,Saturday,1,Clear,None,Medium
PF0000216,2024-10-12,11:00,DEL018,8087,8087,16174,0,Saturday,1,Clear,None,Medium
PF0000217,2024-10-12,12:00,DEL018,7686,7687,15373,0,Saturday,1,Clear,None,Medium
PF0000218,2024-10-12,13:00,DEL018,7736,7737,15473,0,Saturday,1,Clear,None,Medium
PF0000219,2024-10-12,14:00,DEL018,7632,7633,15265,0,Saturday,1,Clear,None,Medium
PF0000220,2024-10-12,15:00,DEL018,7256,7257,14513,0,Saturday,1,Clear,None,Medium
PF0000221,2024-10-12,16:00,DEL018,8010,8010,16020,0,Saturday,1,Clear,None,Medium
PF0000222,2024-10-12,17:00,DEL018,10146,10145,20291,0,Saturday,1,Clear,None,Medium
PF0000223,2024-10-12,18:00,DEL018,9532,9532,19064,1,Saturday,1,Clear,None,Medium
PF0000224,2024-10-12,19:00,DEL018,11527,11527,23054,1,Saturday,1,Clear,None,Medium
PF0000225,2024-10-12,20:00,DEL018,9786,9786,19572,1,Saturday,1,Clear,None,Medium
PF0000226,2024-10-12,21:00,DEL018,7864,7863,15727,0,Saturday,1,Clear,None,Medium
PF0000227,2024-10-12,22:00,DEL018,6396,6396,12792,0,Saturday,1,Clear,None,Low
PF0000228,2024-10-12,23:00,DEL018,4887,4887,9774,0,Saturday,1,Clear,None,Low
PF0000229,2024-10-13,05:00,DEL018,2984,2983,5967,0,Sunday,0,Clear,None,Low
PF0000230,2024-10-13,06:00,DEL018,5568,5567,11135,0,Sunday,0,Clear,None,Low
PF0000231,2024-10-13,07:00,DEL018,8048,8047,16095,0,Sunday,0,Clear,None,Medium
PF0000232,2024-10-13,08:00,DEL018,9314,9313,18627,1,Sunday,0,Clear,None,Medium
PF0000233,2024-10-13,09:00,DEL018,9532,9532,19064,1,Sunday,0,Clear,None,Medium
PF0000234,2024-10-13,10:00,DEL018,8700,8701,17401,1,Sunday,0,Clear,None,Medium
PF0000235,2024-10-13,11:00,DEL018,6356,6356,12712,0,Sunday,0,Clear,None,Low
PF0000236,2024-10-13,12:00,DEL018,6362,6362,12724,0,Sunday,0,Clear,None,Low
PF0000237,2024-10-13,13:00,DEL018,7819,7819,15638,0,Sunday,0,Clear,None,Medium
PF0000238,2024-10-13,14:00,DEL018,7355,7355,14710,0,Sunday,0,Clear,None,Medium
PF0000239,2024-10-13,15:00,DEL018,6562,6561,13123,0,Sunday,0,Clear,None,Low
PF0000240,2024-10-13,16:00,DEL018,7881,7881,15762,0,Sunday,0,Clear,None,Medium
PF0000241,2024-10-13,17:00,DEL018,9011,9011,18022,0,Sunday,0,Clear,None,Medium
PF0000242,2024-10-13,18:00,DEL018,9134,9133,18267,1,Sunday,0,Clear,None,Medium
PF0000243,2024-10-13,19:00,DEL018,9535,9535,19070,1,Sunday,0,Clear,None,Medium
PF0000244,2024-10-13,20:00,DEL018,9986,9986,19972,1,Sunday,0,Clear,None,Medium
PF0000245,2024-10-13,21:00,DEL018,6958,6958,13916,0,Sunday,0,Clear,None,Low
PF0000246,2024-10-13,22:00,DEL018,6068,6067,12135,0,Sunday,0,Clear,None,Low
PF0000247,2024-10-13,23:00,DEL018,3784,3785,7569,0,Sunday,0,Clear,None,Low
PF0000248,2024-10-14,05:00,DEL018,3610,3609,7219,0,Monday,0,Clear,None,Low
PF0000249,2024-10-14,06:00,DEL018,7100,7099,14199,0,Monday,0,Clear,None,Low
PF0000250,2024-10-14,07:00,DEL018,9208,9208,18416,0,Monday,0,Clear,None,Medium
PF0000251,2024-10-14,08:00,DEL018,5676,5676,11352,1,Monday,0,Clear,None,Low
PF0000252,2024-10-14,09:00,DEL018,10798,10798,21596,1,Monday,0,Clear,None,Medium
PF0000253,2024-10-14,10:00,DEL018,10550,10549,21099,1,Monday,0,Clear,None,Medium
PF0000254,2024-10-14,11:00,DEL018,6073,6073,12146,0,Monday,0,Clear,None,Low
PF0000255,2024-10-14,12:00,DEL018,8740,8740,17480,0,Monday,0,Clear,None,Medium
PF0000256,2024-10-14,13:00,DEL018,5484,5484,10968,0,Monday,0,Clear,None,Low
PF0000257,2024-10-14,14:00,DEL018,8299,8299,16598,0,Monday,0,Clear,None,Medium
PF0000258,2024-10-14,15:00,DEL018,7580,7581,15161,0,Monday,0,Clear,None,Medium
PF0000259,2024-10-14,16:00,DEL018,6772,6771,13543,0,Monday,0,Clear,None,Low
PF0000260,2024-10-14,17:00,DEL018,10568,10567,21135,0,Monday,0,Clear,None,Medium
PF0000261,2024-10-14,18:00,DEL018,11280,11281,22561,1,Monday,0,Clear,None,Medium
PF0000262,2024-10-14,19:00,DEL018,10484,10485,20969,1,Monday,0,Clear,None,Medium
PF0000263,2024-10-14,20:00,DEL018,9370,9369,18739,1,Monday,0,Clear,None,Medium
PF0000264,2024-10-14,21:00,DEL018,7275,7275,14550,0,Monday,0,Clear,None,Medium
PF0000265,2024-10-14,22:00,DEL018,5146,5146,10292,0,Monday,0,Clear,None,Low
PF0000266,2024-10-14,23:00,DEL018,5408,5408,10816,0,Monday,0,Clear,None,Low
PF0000267,2024-10-15,05:00,DEL018,4458,4457,8915,0,Tuesday,0,Clear,None,Low
PF0000268,2024-10-15,06:00,DEL018,7037,7037,14074,0,Tuesday,0,Clear,None,Low
PF0000269,2024-10-15,07:00,DEL018,7092,7092,14184,0,Tuesday,0,Clear,None,Low
PF0000270,2024-10-15,08:00,DEL018,8584,8584,17168,1,Tuesday,0,Clear,None,Medium
PF0000271,2024-10-15,09:00,DEL018,9260,9261,18521,1,Tuesday,0,Clear,None,Medium
PF0000272,2024-10-15,10:00,DEL018,7442,7441,14883,1,Tuesday,0,Clear,None,Medium
PF0000273,2024-10-15,11:00,DEL018,7620,7621,15241,0,Tuesday,0,Clear,None,Medium
PF0000274,2024-10-15,12:00,DEL018,7886,7885,15771,0,Tuesday,0,Clear,None,Medium
PF0000275,2024-10-15,13:00,DEL018,6502,6502,13004,0,Tuesday,0,Clear,None,Low
