station_id,date,hour,day_of_week,previous_hour_passengers,previous_day_average,weather,holiday,event,train_frequency,occupancy,future_crowd_level,future_passenger_count,recommended_train_frequency,congestion_probability
DEL018,2024-10-02,20,Wednesday,18152,16042.6,Clear,1,None,3,84,Medium,14627,8,0.258
DEL018,2024-10-02,21,Wednesday,16294,16042.6,Clear,1,None,6,84,Low,10221,12,0.087
DEL018,2024-10-02,22,Wednesday,14627,16042.6,Clear,1,None,5,64,Low,9440,12,0.017
DEL018,2024-10-02,23,Wednesday,10221,16042.6,Clear,1,None,5,59,Low,9440,12,0.098
DEL018,2024-10-03,5,Thursday,10542,13857.4,Clear,0,None,6,42,Low,12924,12,0.058
DEL018,2024-10-03,6,Thursday,10542,13857.4,Clear,0,None,4,70,Medium,22978,8,0.302
DEL018,2024-10-03,7,Thursday,12924,13857.4,Clear,0,None,6,84,High,27117,5,0.569
DEL018,2024-10-03,8,Thursday,22978,13857.4,Clear,0,None,3,99,Medium,24105,8,0.267
DEL018,2024-10-03,9,Thursday,27117,13857.4,Clear,0,None,3,115,Medium,19030,8,0.251
DEL018,2024-10-03,10,Thursday,24105,13857.4,Clear,0,None,2,89,Medium,20309,8,0.253
DEL018,2024-10-03,11,Thursday,19030,13857.4,Clear,0,None,4,92,Medium,16333,8,0.213
DEL018,2024-10-03,12,Thursday,20309,13857.4,Clear,0,None,4,86,Medium,18228,8,0.228
DEL018,2024-10-03,13,Thursday,16333,13857.4,Clear,0,None,4,94,Medium,18484,8,0.299
DEL018,2024-10-03,14,Thursday,18228,13857.4,Clear,0,None,5,90,Medium,19887,8,0.257
DEL018,2024-10-03,15,Thursday,18484,13857.4,Clear,0,None,4,90,Medium,20295,8,0.247
DEL018,2024-10-03,16,Thursday,19887,13857.4,Clear,0,None,5,90,Medium,23051,8,0.244
DEL018,2024-10-03,17,Thursday,20295,13857.4,Clear,0,None,6,127,High,24990,5,0.563
DEL018,2024-10-03,18,Thursday,23051,13857.4,Clear,0,None,3,127,High,27236,5,0.654
DEL018,2024-10-03,19,Thursday,24990,13857.4,Clear,0,None,3,101,High,26605,5,0.605
DEL018,2024-10-03,20,Thursday,27236,13857.4,Clear,0,None,2,101,Medium,15761,8,0.265
DEL018,2024-10-03,21,Thursday,26605,13857.4,Clear,0,None,6,76,Medium,15953,8,0.22
DEL018,2024-10-03,22,Thursday,15761,13857.4,Clear,0,None,4,74,Low,11028,12,0.023
DEL018,2024-10-03,23,Thursday,15953,13857.4,Clear,0,None,5,62,Low,11028,12,0.046
DEL018,2024-10-04,5,Friday,8360,19729.3,Haze,0,None,4,40,Low,11459,12,0.059
DEL018,2024-10-04,6,Friday,8360,19729.3,Haze,0,None,5,60,Medium,16509,8,0.229
DEL018,2024-10-04,7,Friday,11459,19729.3,Haze,0,None,5,93,Medium,19040,8,0.222
DEL018,2024-10-04,8,Friday,16509,19729.3,Haze,0,None,3,127,Medium,20078,8,0.224
DEL018,2024-10-04,9,Friday,19040,19729.3,Haze,0,None,3,114,Medium,18276,8,0.214
DEL018,2024-10-04,10,Friday,20078,19729.3,Haze,0,None,2,82,Medium,15908,8,0.3
DEL018,2024-10-04,11,Friday,18276,19729.3,Haze,0,None,5,85,Medium,15166,8,0.294
DEL018,2024-10-04,12,Friday,15908,19729.3,Haze,0,None,6,98,Low,13156,12,0.079
DEL018,2024-10-04,13,Friday,15166,19729.3,Haze,0,None,4,99,Medium,16279,8,0.307
DEL018,2024-10-04,14,Friday,13156,19729.3,Haze,0,None,4,91,Medium,15094,8,0.28
DEL018,2024-10-04,15,Friday,16279,19729.3,Haze,0,None,5,77,Medium,19760,8,0.308
DEL018,2024-10-04,16,Friday,15094,19729.3,Haze,0,None,6,111,Medium,18801,8,0.295
DEL018,2024-10-04,17,Friday,19760,19729.3,Haze,0,None,4,102,Medium,16991,8,0.285
DEL018,2024-10-04,18,Friday,18801,19729.3,Haze,0,None,3,130,Medium,20164,8,0.298
DEL018,2024-10-04,19,Friday,16991,19729.3,Haze,0,None,3,96,Medium,19998,8,0.257
DEL018,2024-10-04,20,Friday,20164,19729.3,Haze,0,None,2,82,Medium,15419,8,0.306
DEL018,2024-10-04,21,Friday,19998,19729.3,Haze,0,None,4,84,Low,12393,12,0.03
DEL018,2024-10-04,22,Friday,15419,19729.3,Haze,0,None,5,58,Low,9236,12,0.031
DEL018,2024-10-04,23,Friday,12393,19729.3,Haze,0,None,4,59,Low,9236,12,0.076
DEL018,2024-10-05,5,Saturday,8029,15899.3,Clear,0,None,5,37,Low,10209,12,0.03
DEL018,2024-10-05,6,Saturday,8029,15899.3,Clear,0,None,4,72,Medium,14777,8,0.304
DEL018,2024-10-05,7,Saturday,10209,15899.3,Clear,0,None,4,106,Medium,19247,8,0.212
DEL018,2024-10-05,8,Saturday,14777,15899.3,Clear,0,None,2,100,Medium,14830,8,0.23
DEL018,2024-10-05,9,Saturday,19247,15899.3,Clear,0,None,2,116,Medium,17964,8,0.275
DEL018,2024-10-05,10,Saturday,14830,15899.3,Clear,0,None,3,95,Medium,14509,8,0.277
DEL018,2024-10-05,11,Saturday,17964,15899.3,Clear,0,None,4,92,Medium,14885,8,0.234
DEL018,2024-10-05,12,Saturday,14509,15899.3,Clear,0,None,4,73,Low,14419,12,0.033
DEL018,2024-10-05,13,Saturday,14885,15899.3,Clear,0,None,6,95,Low,13437,12,0.091
DEL018,2024-10-05,14,Saturday,14419,15899.3,Clear,0,None,6,83,Low,12205,12,0.089
DEL018,2024-10-05,15,Saturday,13437,15899.3,Clear,0,None,6,96,Medium,15710,8,0.218
DEL018,2024-10-05,16,Saturday,12205,15899.3,Clear,0,None,6,109,Medium,16433,8,0.236
DEL018,2024-10-05,17,Saturday,15710,15899.3,Clear,0,None,4,103,Medium,19095,8,0.276
DEL018,2024-10-05,18,Saturday,16433,15899.3,Clear,0,None,2,132,Medium,19678,8,0.278
DEL018,2024-10-05,19,Saturday,19095,15899.3,Clear,0,None,3,99,Medium,18286,8,0.271
DEL018,2024-10-05,20,Saturday,19678,15899.3,Clear,0,None,2,84,Low,14165,12,0.032
DEL018,2024-10-05,21,Saturday,18286,15899.3,Clear,0,None,4,69,Low,12433,12,0.063
DEL018,2024-10-05,22,Saturday,14165,15899.3,Clear,0,None,4,65,Low,8834,12,0.089
DEL018,2024-10-05,23,Saturday,12433,15899.3,Clear,0,None,4,58,Low,8834,12,0.089
DEL018,2024-10-06,5,Sunday,6502,14691.8,Clear,0,None,5,39,Low,11920,12,0.077
DEL018,2024-10-06,6,Sunday,6502,14691.8,Clear,0,None,5,71,Medium,15317,8,0.303
DEL018,2024-10-06,7,Sunday,11920,14691.8,Clear,0,None,4,81,Medium,18699,8,0.299
DEL018,2024-10-06,8,Sunday,15317,14691.8,Clear,0,None,2,118,Medium,16277,8,0.247
DEL018,2024-10-06,9,Sunday,18699,14691.8,Clear,0,None,2,108,Medium,14528,8,0.222
DEL018,2024-10-06,10,Sunday,16277,14691.8,Clear,0,None,3,112,Medium,14525,8,0.249
DEL018,2024-10-06,11,Sunday,14528,14691.8,Clear,0,None,6,92,Medium,14868,8,0.247
DEL018,2024-10-06,12,Sunday,14525,14691.8,Clear,0,None,6,71,Low,12311,12,0.097
DEL018,2024-10-06,13,Sunday,14868,14691.8,Clear,0,None,5,77,Medium,14573,8,0.218
DEL018,2024-10-06,14,Sunday,12311,14691.8,Clear,0,None,5,78,Low,12929,12,0.042
DEL018,2024-10-06,15,Sunday,14573,14691.8,Clear,0,None,6,96,Medium,15959,8,0.248
DEL018,2024-10-06,16,Sunday,12929,14691.8,Clear,0,None,5,84,Medium,20789,8,0.218
DEL018,2024-10-06,17,Sunday,15959,14691.8,Clear,0,None,6,108,Medium,19680,8,0.296
DEL018,2024-10-06,18,Sunday,20789,14691.8,Clear,0,None,2,93,Medium,19659,8,0.211
DEL018,2024-10-06,19,Sunday,19680,14691.8,Clear,0,None,2,95,Medium,18974,8,0.225
DEL018,2024-10-06,20,Sunday,19659,14691.8,Clear,0,None,2,109,Low,12696,12,0.032
DEL018,2024-10-06,21,Sunday,18974,14691.8,Clear,0,None,4,83,Low,10259,12,0.083
DEL018,2024-10-06,22,Sunday,12696,14691.8,Clear,0,None,4,81,Low,8447,12,0.022
DEL018,2024-10-06,23,Sunday,10259,14691.8,Clear,0,None,6,58,Low,8447,12,0.025
DEL018,2024-10-07,5,Monday,7394,14679.6,Clear,0,None,5,44,Low,9668,12,0.093
DEL018,2024-10-07,6,Monday,7394,14679.6,Clear,0,None,5,72,Medium,17336,8,0.249
DEL018,2024-10-07,7,Monday,9668,14679.6,Clear,0,None,5,98,Medium,19131,8,0.29
DEL018,2024-10-07,8,Monday,17336,14679.6,Clear,0,None,2,107,Medium,21818,8,0.214
DEL018,2024-10-07,9,Monday,19131,14679.6,Clear,0,None,2,105,Medium,18327,8,0.211
DEL018,2024-10-07,10,Monday,21818,14679.6,Clear,0,None,2,102,Low,14263,12,0.059
DEL018,2024-10-07,11,Monday,18327,14679.6,Clear,0,None,5,82,Medium,16070,8,0.271
DEL018,2024-10-07,12,Monday,14263,14679.6,Clear,0,None,4,98,Medium,16272,8,0.287
DEL018,2024-10-07,13,Monday,16070,14679.6,Clear,0,None,4,82,Low,14008,12,0.083
DEL018,2024-10-07,14,Monday,16272,14679.6,Clear,0,None,5,96,Low,14426,12,0.014
DEL018,2024-10-07,15,Monday,14008,14679.6,Clear,0,None,6,98,Low,13764,12,0.028
DEL018,2024-10-07,16,Monday,14426,14679.6,Clear,0,None,5,104,Medium,18026,8,0.232
DEL018,2024-10-07,17,Monday,13764,14679.6,Clear,0,None,6,113,Medium,18730,8,0.308
DEL018,2024-10-07,18,Monday,18026,14679.6,Clear,0,None,2,109,Medium,20383,8,0.306
DEL018,2024-10-07,19,Monday,18730,14679.6,Clear,0,None,3,107,Medium,16030,8,0.23
DEL018,2024-10-07,20,Monday,20383,14679.6,Clear,0,None,2,86,Low,14395,12,0.07
DEL018,2024-10-07,21,Monday,16030,14679.6,Clear,0,None,4,82,Low,11096,12,0.081
DEL018,2024-10-07,22,Monday,14395,14679.6,Clear,0,None,4,70,Low,10289,12,0.053
DEL018,2024-10-07,23,Monday,11096,14679.6,Clear,0,None,6,64,Low,10289,12,0.077
DEL018,2024-10-08,5,Tuesday,7910,15338.2,Haze,0,None,6,39,Low,13154,12,0.023
DEL018,2024-10-08,6,Tuesday,7910,15338.2,Haze,0,None,5,79,Medium,17725,8,0.266
DEL018,2024-10-08,7,Tuesday,13154,15338.2,Haze,0,None,5,89,Medium,17115,8,0.225
DEL018,2024-10-08,8,Tuesday,17725,15338.2,Haze,0,None,2,96,Medium,18978,8,0.286
DEL018,2024-10-08,9,Tuesday,17115,15338.2,Haze,0,None,2,121,Medium,16982,8,0.248
DEL018,2024-10-08,10,Tuesday,18978,15338.2,Haze,0,None,3,92,Medium,14562,8,0.256
DEL018,2024-10-08,11,Tuesday,16982,15338.2,Haze,0,None,6,72,Medium,15288,8,0.291
DEL018,2024-10-08,12,Tuesday,14562,15338.2,Haze,0,None,6,89,Medium,17338,8,0.217
DEL018,2024-10-08,13,Tuesday,15288,15338.2,Haze,0,None,5,97,Medium,16407,8,0.263
DEL018,2024-10-08,14,Tuesday,17338,15338.2,Haze,0,None,4,92,Low,13676,12,0.079
DEL018,2024-10-08,15,Tuesday,16407,15338.2,Haze,0,None,5,74,Medium,18904,8,0.276
DEL018,2024-10-08,16,Tuesday,13676,15338.2,Haze,0,None,5,94,Medium,21528,8,0.28
DEL018,2024-10-08,17,Tuesday,18904,15338.2,Haze,0,None,6,115,Medium,18602,8,0.22
DEL018,2024-10-08,18,Tuesday,21528,15338.2,Haze,0,None,2,128,Medium,21950,8,0.236
DEL018,2024-10-08,19,Tuesday,18602,15338.2,Haze,0,None,3,106,Medium,17420,8,0.242
DEL018,2024-10-08,20,Tuesday,21950,15338.2,Haze,0,None,2,112,Low,13035,12,0.063
DEL018,2024-10-08,21,Tuesday,17420,15338.2,Haze,0,None,6,92,Low,13221,12,0.073
DEL018,2024-10-08,22,Tuesday,13035,15338.2,Haze,0,None,4,76,Low,10336,12,0.095
DEL018,2024-10-08,23,Tuesday,13221,15338.2,Haze,0,None,5,62,Low,10336,12,0.066
DEL018,2024-10-09,5,Wednesday,7414,16006.9,Haze,0,None,5,39,Low,12598,12,0.024
DEL018,2024-10-09,6,Wednesday,7414,16006.9,Haze,0,None,5,65,Medium,16430,8,0.23
DEL018,2024-10-09,7,Wednesday,12598,16006.9,Haze,0,None,4,112,Medium,21467,8,0.286
DEL018,2024-10-09,8,Wednesday,16430,16006.9,Haze,0,None,2,120,Medium,20145,8,0.294
DEL018,2024-10-09,9,Wednesday,21467,16006.9,Haze,0,None,3,125,Medium,17998,8,0.284
DEL018,2024-10-09,10,Wednesday,20145,16006.9,Haze,0,None,3,111,Medium,15716,8,0.236
DEL018,2024-10-09,11,Wednesday,17998,16006.9,Haze,0,None,6,90,Low,13422,12,0.074
DEL018,2024-10-09,12,Wednesday,15716,16006.9,Haze,0,None,4,90,Low,13817,12,0.085
DEL018,2024-10-09,13,Wednesday,13422,16006.9,Haze,0,None,6,74,Low,11821,12,0.054
DEL018,2024-10-09,14,Wednesday,13817,16006.9,Haze,0,None,5,95,Medium,16031,8,0.247
DEL018,2024-10-09,15,Wednesday,11821,16006.9,Haze,0,None,4,78,Medium,15557,8,0.235
DEL018,2024-10-09,16,Wednesday,16031,16006.9,Haze,0,None,4,92,Medium,20501,8,0.281
DEL018,2024-10-09,17,Wednesday,15557,16006.9,Haze,0,None,6,100,Medium,20983,8,0.29
DEL018,2024-10-09,18,Wednesday,20501,16006.9,Haze,0,None,2,103,Medium,21451,8,0.305
DEL018,2024-10-09,19,Wednesday,20983,16006.9,Haze,0,None,2,97,Medium,15572,8,0.229
DEL018,2024-10-09,20,Wednesday,21451,16006.9,Haze,0,None,2,109,Medium,15076,8,0.269
DEL018,2024-10-09,21,Wednesday,15572,16006.9,Haze,0,None,5,82,Medium,14757,8,0.31
DEL018,2024-10-09,22,Wednesday,15076,16006.9,Haze,0,None,4,73,Low,11851,12,0.105
DEL018,2024-10-09,23,Wednesday,14757,16006.9,Haze,0,None,5,59,Low,11851,12,0.069
DEL018,2024-10-10,5,Thursday,8978,15926.7,Cloudy,0,None,5,43,Low,14079,12,0.104
DEL018,2024-10-10,6,Thursday,8978,15926.7,Cloudy,0,None,4,81,Medium,17150,8,0.224
DEL018,2024-10-10,7,Thursday,14079,15926.7,Cloudy,0,None,6,105,Medium,23356,8,0.262
DEL018,2024-10-10,8,Thursday,17150,15926.7,Cloudy,0,None,3,110,Medium,21446,8,0.267
DEL018,2024-10-10,9,Thursday,23356,15926.7,Cloudy,0,None,3,108,Medium,20135,8,0.289
DEL018,2024-10-10,10,Thursday,21446,15926.7,Cloudy,0,None,2,83,Medium,15309,8,0.23
DEL018,2024-10-10,11,Thursday,20135,15926.7,Cloudy,0,None,6,94,Medium,16060,8,0.242
DEL018,2024-10-10,12,Thursday,15309,15926.7,Cloudy,0,None,5,88,Medium,16611,8,0.303
DEL018,2024-10-10,13,Thursday,16060,15926.7,Cloudy,0,None,6,96,Medium,16745,8,0.279
DEL018,2024-10-10,14,Thursday,16611,15926.7,Cloudy,0,None,4,89,Medium,17150,8,0.282
DEL018,2024-10-10,15,Thursday,16745,15926.7,Cloudy,0,None,5,86,Medium,17962,8,0.29
DEL018,2024-10-10,16,Thursday,17150,15926.7,Cloudy,0,None,4,103,Medium,18863,8,0.258
DEL018,2024-10-10,17,Thursday,17962,15926.7,Cloudy,0,None,4,115,High,25331,5,0.589
DEL018,2024-10-10,18,Thursday,18863,15926.7,Cloudy,0,None,2,123,High,27215,5,0.582
DEL018,2024-10-10,19,Thursday,25331,15926.7,Cloudy,0,None,2,121,Medium,19920,8,0.241
DEL018,2024-10-10,20,Thursday,27215,15926.7,Cloudy,0,None,3,102,Low,14179,12,0.093
DEL018,2024-10-10,21,Thursday,19920,15926.7,Cloudy,0,None,5,92,Low,12566,12,0.11
DEL018,2024-10-10,22,Thursday,14179,15926.7,Cloudy,0,None,5,76,Low,11450,12,0.032
DEL018,2024-10-10,23,Thursday,12566,15926.7,Cloudy,0,None,6,50,Low,11450,12,0.097
DEL018,2024-10-11,5,Friday,11467,17605.5,Cloudy,0,Trade Fair,5,44,Medium,21479,8,0.294
DEL018,2024-10-11,6,Friday,11467,17605.5,Cloudy,0,Trade Fair,4,63,High,31046,5,0.63
DEL018,2024-10-11,7,Friday,21479,17605.5,Cloudy,0,Trade Fair,6,84,Critical,37808,3,0.868
DEL018,2024-10-11,8,Friday,31046,17605.5,Cloudy,0,Trade Fair,3,102,High,33604,5,0.573
DEL018,2024-10-11,9,Friday,37808,17605.5,Cloudy,0,Trade Fair,2,106,High,25688,5,0.574
DEL018,2024-10-11,10,Friday,33604,17605.5,Cloudy,0,Trade Fair,2,82,High,27721,5,0.608
DEL018,2024-10-11,11,Friday,25688,17605.5,Cloudy,0,Trade Fair,5,70,High,29035,5,0.596
DEL018,2024-10-11,12,Friday,27721,17605.5,Cloudy,0,Trade Fair,5,84,High,25884,5,0.567
DEL018,2024-10-11,13,Friday,29035,17605.5,Cloudy,0,Trade Fair,5,99,High,27157,5,0.66
DEL018,2024-10-11,14,Friday,25884,17605.5,Cloudy,0,Trade Fair,4,92,High,24861,5,0.561
DEL018,2024-10-11,15,Friday,27157,17605.5,Cloudy,0,Trade Fair,6,77,High,27874,5,0.611
DEL018,2024-10-11,16,Friday,24861,17605.5,Cloudy,0,Trade Fair,4,98,Critical,38371,3,0.919
DEL018,2024-10-11,17,Friday,27874,17605.5,Cloudy,0,Trade Fair,6,98,Critical,48800,3,0.942
DEL018,2024-10-11,18,Friday,38371,17605.5,Cloudy,0,Trade Fair,2,105,Critical,49283,3,0.919
DEL018,2024-10-11,19,Friday,48800,17605.5,Cloudy,0,Trade Fair,3,104,Critical,47282,3,0.877
DEL018,2024-10-11,20,Friday,49283,17605.5,Cloudy,0,Trade Fair,2,112,High,31518,5,0.634
DEL018,2024-10-11,21,Friday,47282,17605.5,Cloudy,0,Trade Fair,4,92,Medium,20549,8,0.306
DEL018,2024-10-11,22,Friday,31518,17605.5,Cloudy,0,Trade Fair,6,72,Medium,17675,8,0.223
DEL018,2024-10-11,23,Friday,20549,17605.5,Cloudy,0,Trade Fair,5,61,Medium,17675,8,0.268
DEL018,2024-10-12,5,Saturday,6978,30373.8,Clear,1,None,4,35,Low,13291,12,0.075
DEL018,2024-10-12,6,Saturday,6978,30373.8,Clear,1,None,5,65,Medium,16933,8,0.223
DEL018,2024-10-12,7,Saturday,13291,30373.8,Clear,1,None,6,86,Medium,17764,8,0.296
DEL018,2024-10-12,8,Saturday,16933,30373.8,Clear,1,None,3,130,Medium,19851,8,0.292
DEL018,2024-10-12,9,Saturday,17764,30373.8,Clear,1,None,3,92,Medium,17550,8,0.285
DEL018,2024-10-12,10,Saturday,19851,30373.8,Clear,1,None,2,102,Medium,16174,8,0.244
DEL018,2024-10-12,11,Saturday,17550,30373.8,Clear,1,None,4,92,Medium,15373,8,0.267
DEL018,2024-10-12,12,Saturday,16174,30373.8,Clear,1,None,4,98,Medium,15473,8,0.224
DEL018,2024-10-12,13,Saturday,15373,30373.8,Clear,1,None,6,83,Medium,15265,8,0.277
DEL018,2024-10-12,14,Saturday,15473,30373.8,Clear,1,None,4,91,Medium,14513,8,0.266
DEL018,2024-10-12,15,Saturday,15265,30373.8,Clear,1,None,6,94,Medium,16020,8,0.231
DEL018,2024-10-12,16,Saturday,14513,30373.8,Clear,1,None,6,100,Medium,20291,8,0.298
DEL018,2024-10-12,17,Saturday,16020,30373.8,Clear,1,None,5,109,Medium,19064,8,0.211
DEL018,2024-10-12,18,Saturday,20291,30373.8,Clear,1,None,3,95,Medium,23054,8,0.276
DEL018,2024-10-12,19,Saturday,19064,30373.8,Clear,1,None,3,119,Medium,19572,8,0.242
DEL018,2024-10-12,20,Saturday,23054,30373.8,Clear,1,None,3,93,Medium,15727,8,0.273
DEL018,2024-10-12,21,Saturday,19572,30373.8,Clear,1,None,5,75,Low,12792,12,0.092
DEL018,2024-10-12,22,Saturday,15727,30373.8,Clear,1,None,4,73,Low,9774,12,0.013
DEL018,2024-10-12,23,Saturday,12792,30373.8,Clear,1,None,4,52,Low,9774,12,0.036
DEL018,2024-10-13,5,Sunday,5967,16076.8,Clear,0,None,6,36,Low,11135,12,0.059
DEL018,2024-10-13,6,Sunday,5967,16076.8,Clear,0,None,6,69,Medium,16095,8,0.292
DEL018,2024-10-13,7,Sunday,11135,16076.8,Clear,0,None,5,90,Medium,18627,8,0.23
DEL018,2024-10-13,8,Sunday,16095,16076.8,Clear,0,None,2,130,Medium,19064,8,0.295
DEL018,2024-10-13,9,Sunday,18627,16076.8,Clear,0,None,3,118,Medium,17401,8,0.256
DEL018,2024-10-13,10,Sunday,19064,16076.8,Clear,0,None,2,81,Low,12712,12,0.06
DEL018,2024-10-13,11,Sunday,17401,16076.8,Clear,0,None,6,95,Low,12724,12,0.037
DEL018,2024-10-13,12,Sunday,12712,16076.8,Clear,0,None,4,70,Medium,15638,8,0.245
DEL018,2024-10-13,13,Sunday,12724,16076.8,Clear,0,None,6,81,Medium,14710,8,0.232
DEL018,2024-10-13,14,Sunday,15638,16076.8,Clear,0,None,6,96,Low,13123,12,0.095
DEL018,2024-10-13,15,Sunday,14710,16076.8,Clear,0,None,6,96,Medium,15762,8,0.217
DEL018,2024-10-13,16,Sunday,13123,16076.8,Clear,0,None,4,108,Medium,18022,8,0.239
DEL018,2024-10-13,17,Sunday,15762,16076.8,Clear,0,None,5,95,Medium,18267,8,0.279
DEL018,2024-10-13,18,Sunday,18022,16076.8,Clear,0,None,2,129,Medium,19070,8,0.285
DEL018,2024-10-13,19,Sunday,18267,16076.8,Clear,0,None,3,94,Medium,19972,8,0.211
DEL018,2024-10-13,20,Sunday,19070,16076.8,Clear,0,None,2,92,Low,13916,12,0.095
DEL018,2024-10-13,21,Sunday,19972,16076.8,Clear,0,None,5,98,Low,12135,12,0.105
DEL018,2024-10-13,22,Sunday,13916,16076.8,Clear,0,None,5,67,Low,7569,12,0.026
DEL018,2024-10-13,23,Sunday,12135,16076.8,Clear,0,None,6,63,Low,7569,12,0.069
DEL018,2024-10-14,5,Monday,7219,14837.3,Clear,0,None,6,46,Low,14199,12,0.093
DEL018,2024-10-14,6,Monday,7219,14837.3,Clear,0,None,6,70,Medium,18416,8,0.298
DEL018,2024-10-14,7,Monday,14199,14837.3,Clear,0,None,5,113,Low,11352,12,0.012
DEL018,2024-10-14,8,Monday,18416,14837.3,Clear,0,None,3,125,Medium,21596,8,0.221
DEL018,2024-10-14,9,Monday,11352,14837.3,Clear,0,None,2,126,Medium,21099,8,0.266
DEL018,2024-10-14,10,Monday,21596,14837.3,Clear,0,None,3,113,Low,12146,12,0.033
DEL018,2024-10-14,11,Monday,21099,14837.3,Clear,0,None,6,71,Medium,17480,8,0.307
DEL018,2024-10-14,12,Monday,12146,14837.3,Clear,0,None,6,79,Low,10968,12,0.069
DEL018,2024-10-14,13,Monday,17480,14837.3,Clear,0,None,5,72,Medium,16598,8,0.308
DEL018,2024-10-14,14,Monday,10968,14837.3,Clear,0,None,5,83,Medium,15161,8,0.27
DEL018,2024-10-14,15,Monday,16598,14837.3,Clear,0,None,5,81,Low,13543,12,0.018
DEL018,2024-10-14,16,Monday,15161,14837.3,Clear,0,None,4,106,Medium,21135,8,0.21
DEL018,2024-10-14,17,Monday,13543,14837.3,Clear,0,None,5,130,Medium,22561,8,0.286
DEL018,2024-10-14,18,Monday,21135,14837.3,Clear,0,None,3,123,Medium,20969,8,0.255
DEL018,2024-10-14,19,Monday,22561,14837.3,Clear,0,None,3,95,Medium,18739,8,0.307
DEL018,2024-10-14,20,Monday,20969,14837.3,Clear,0,None,3,86,Medium,14550,8,0.299
DEL018,2024-10-14,21,Monday,18739,14837.3,Clear,0,None,5,95,Low,10292,12,0.049
